ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150108UPZ83905,2015,1,905,ATRACO / HURTO EN PROCESO,8,KENNEDY,UPZ83,LAS MARGARITAS,4
20150109UPZ110904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ110,CIUDAD SALITRE OCCIDENTAL,10
20150109UPZ110905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ110,CIUDAD SALITRE OCCIDENTAL,43
20150109UPZ112904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ112,GRANJAS DE TECHO,16
20150109UPZ112905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ112,GRANJAS DE TECHO,35
20150109UPZ114904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ114,MODELIA,31
20150109UPZ114905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ114,MODELIA,49
20150109UPZ115904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ115,CAPELLANIA,13
20150109UPZ115905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ115,CAPELLANIA,28
20150109UPZ117904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ117,AEROPUERTO EL DORADO,1
20150109UPZ117905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ117,AEROPUERTO EL DORADO,6
20150109UPZ75904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ75,FONTIBON,73
20150109UPZ75905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ75,FONTIBON,178
20150109UPZ76904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ76,FONTIBON SAN PABLO,10
20150109UPZ76905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ76,FONTIBON SAN PABLO,17
20150109UPZ77904,2015,1,904,HURTO EFECTUADO,9,FONTIBÓN,UPZ77,ZONA FRANCA,9
20150109UPZ77905,2015,1,905,ATRACO / HURTO EN PROCESO,9,FONTIBÓN,UPZ77,ZONA FRANCA,27
20150110UPZ105904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ105,JARDIN BOTANICO,2
20150110UPZ105905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ105,JARDIN BOTANICO,6
20150110UPZ116904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ116,ALAMOS,10
20150110UPZ116905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ116,ALAMOS,15
20150110UPZ26904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ26,LAS FERIAS,40
20150110UPZ26905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ26,LAS FERIAS,252
20150110UPZ29904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ29,MINUTO DE DIOS,38
20150110UPZ29905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ29,MINUTO DE DIOS,108
20150110UPZ30904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ30,BOYACA REAL,66
20150110UPZ30905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ30,BOYACA REAL,199
20150110UPZ31904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ31,SANTA CECILIA,37
20150110UPZ31905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ31,SANTA CECILIA,124
20150110UPZ72904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ72,BOLIVIA,21
20150110UPZ72905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ72,BOLIVIA,56
20150110UPZ73904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ73,GARCES NAVAS,90
20150110UPZ73905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ73,GARCES NAVAS,240
20150110UPZ74904,2015,1,904,HURTO EFECTUADO,10,ENGATIVÁ,UPZ74,ENGATIVA,60
20150110UPZ74905,2015,1,905,ATRACO / HURTO EN PROCESO,10,ENGATIVÁ,UPZ74,ENGATIVA,113
20150111UPR1904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPR1,UPR ZONA NORTE,21
20150111UPR1905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPR1,UPR ZONA NORTE,98
20150111UPZ17904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ17,SAN JOSE DE BAVARIA,19
20150111UPZ17905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ17,SAN JOSE DE BAVARIA,59
